Serial #s,Lo Off Gate Voltage,Hi On Gate Voltage,Hi Off Gate Voltage,Lo On Gate Voltage,Digital +5V,Hi Pos Vunreg,Hi Neg Vunreg,Hi +5V,Hi -5V,Lo Pos Vunreg,Lo Neg Vunreg,Lo +5V,Lo -5V,Hi  Freq,Hi Duty,Lo Freq,Lo Duty,TempFreq,Temp Duty,DCL Freq,DCL Duty, Result, DateTime
ZJ24010910010223LF,5.6,19.69,5.56,0,5.3,22.45,8.37,5.26,5.36,22.18,8.4,5.23,5.37,10002.5,49.51,10002.5,33.05,31458.91,55.56,31458.91,49.82,FAIL,4/29/2024 7:33:25 AM
ZJ24010910010223LF,5.61,19.69,5.56,0,5.3,22.45,8.36,5.26,5.36,22.18,8.4,5.23,5.38,10003.75,49.51,10005,24.06,31483.67,55.61,31483.67,50.65,FAIL,4/29/2024 7:33:54 AM
ZJ24010910010308LF,5.59,19.71,5.59,19.77,5.27,22.5,8.39,5.25,5.4,22.46,8.41,5.27,5.4,10002.5,49.49,10003.75,49.46,31545.74,55.95,31545.74,50.16,PASS,4/29/2024 7:34:34 AM
ZJ24010910010067LF,5.61,19.67,5.58,19.79,5.29,22.5,8.4,5.25,5.42,22.47,8.41,5.27,5.4,10003.75,49.49,10003.75,49.51,31545.74,55.56,31545.74,0.35,FAIL,4/29/2024 7:34:59 AM
ZJ24010910010067LF,5.61,19.68,5.59,19.8,5.28,22.5,8.39,5.25,5.41,22.46,8.41,5.27,5.4,10003.75,49.49,10003.75,49.52,31558.19,55.98,31558.19,48.68,PASS,4/29/2024 7:35:23 AM
ZJ24010910010321LF,5.61,19.69,5.59,19.78,5.27,22.51,8.38,5.26,5.42,22.47,8.41,5.26,5.4,10005,49.52,10005,49.5,31595.58,55.61,31595.58,0.39,FAIL,4/29/2024 7:35:47 AM
ZJ24010910010321LF,5.62,19.7,5.59,19.78,5.28,22.5,8.39,5.26,5.43,22.47,8.42,5.26,5.42,10002.5,49.49,10001.25,49.47,31595.58,55.57,31595.58,0.36,FAIL,4/29/2024 7:37:10 AM
ZJ24010910010321LF,5.62,19.7,5.6,19.79,5.28,22.5,8.39,5.26,5.44,22.47,8.41,5.26,5.41,10005,49.49,10003.75,49.48,31583.1,55.59,31583.1,0.36,FAIL,4/29/2024 7:37:33 AM
ZJ24010910010257LF,5.62,19.73,5.6,19.81,5.27,22.49,8.39,5.26,5.43,22.45,8.42,5.27,5.41,10001.25,49.49,10002.5,49.52,31458.91,55.56,31458.91,0.35,FAIL,4/29/2024 7:38:17 AM
ZJ24010910010257LF,5.62,19.73,5.6,19.82,5.27,22.5,8.4,5.27,5.43,22.46,8.41,5.27,5.4,10000,49.49,10002.5,49.5,31471.28,55.55,31471.28,0.47,FAIL,4/29/2024 7:38:42 AM
ZJ24010910010223LF,5.61,19.68,5.57,0,5.31,22.44,8.37,5.26,5.36,22.17,8.4,5.24,5.38,10003.75,49.53,10003.75,49.54,31458.91,55.56,31458.91,49.55,FAIL,4/29/2024 7:39:12 AM
ZJ24010910010223LF,5.61,19.69,5.57,0,5.31,22.44,8.37,5.26,5.36,22.17,8.41,5.23,5.38,10002.5,49.5,10003.75,49.53,31446.54,55.58,31446.54,49.65,FAIL,4/29/2024 7:39:38 AM
ZJ24010910010223LF,5.61,19.68,5.57,0,5.31,22.44,8.37,5.26,5.36,22.17,8.4,5.23,5.39,10005,49.52,10005,40.68,31458.91,55.21,31458.91,49.94,FAIL,4/29/2024 7:42:26 AM
ZJ24010910010321LF,5.62,19.69,5.59,19.78,5.28,22.5,8.38,5.26,5.42,22.46,8.41,5.26,5.4,10005,49.51,10001.25,49.47,31583.1,55.59,31583.1,0.36,FAIL,4/29/2024 7:43:20 AM
ZJ24010910010257LF,5.62,19.73,5.6,19.81,5.27,22.49,8.4,5.27,5.43,22.45,8.42,5.27,5.41,10002.5,49.51,10006.25,49.54,31471.28,55.59,31471.28,0.39,FAIL,4/29/2024 7:43:49 AM
